,Text,Hindi text,Primary Intent,Secondary Intent,Initiated by,Response
30,We're happy to hear from you. Is there anything else I can assist you with before we end this call?,हम आपसे सुनकर खुश हैं। इस कॉल को समाप्त करने से पहले क्या कोई और चीज है जिसमें मैं आपकी सहायता कर सकता हूं?,Greeting and Etiquette,Closing the call greeting,,
31,And I'm selling my call of 3050.,और मैं अपना 3050 का कॉल बेच रहा हूं।,Trade generation,Sell,,
32,"I'm selling two change-tax dollars, well, 2323830's the rate is okay.","मैं दो परिवर्तन-कर डॉलर बेच रहा हूँ, ठीक है, 2323830 की रेट ठीक है।",Trade generation,Sell,,
33,And November call is selling at 29.90.,और नवंबर कॉल 29.90 पर बिक रही है।,Trade generation,Sell,,
34,I'm selling 575 shares at 3926.,मैं 575 शेयर 3926 पर बेच रहा हूं।,Trade generation,Sell,,
35,"we can sell normal pay tomorrow, sir.","हम कल नार्मल पे बेच सकते हैं, सर ।",Trade generation,Sell,,
36,You can sell the share whenever you think the share's price is falling.,जब भी आपको लगे कि शेयर की कीमत गिर रही है तो आप शेयर को बेच सकते हैं।,Trade generation,Sell,,
37,I suggest we remove it,मेरा सुझाव है कि हम इसे हटा दें,Trade generation,Sell,,
38,Removed December Call.,दिसंबर कॉल हटा दिया गया।,Trade generation,Sell,,
39,I want to sell some options.,मैं कुछ ऑप्शन बेचना चाहता हूं।,Trade generation,Sell,,
40,"Sir, we removed the bean day.","सर, हमने बीन डे हटा दिया।",Trade generation,Sell,,
41,Sell the shares when market seems to dip,जब बाजार में गिरावट दिखे तो शेयर बेचें,Trade generation,Sell,,
42,I will sell my option when I want.,मैं जब चाहूं अपना ऑप्शन  बेचूंगा।,Trade generation,Sell,,
43,When the profit stops we sell them.,जब प्रॉफिट बंद हो जाता है तो हम उन्हें बेच देते हैं।,Trade generation,Sell,,
44,"If it becomes 1600, I will remove it.","अगर यह 1600 हो जाता है, तो मैं इसे हटा दूंगा।",Trade generation,Sell,,
45,"Sir, I would recommend that you buy ","सर, मैं रेकमेंड करता हूं कि आप खरीद लें",Trade generation,Buy,,
46,I want to Buy some options.,मैं कुछ ऑप्शन खरीदना चाहता हूं।,Trade generation,Buy,,
47,Buy 27 shares.,27 शेयर खरीदें।,Trade generation,Buy,,
48,Sir I would suggest that you buy shares now as they are expected to rise.,"सर, मेरा सुझाव है कि आप अभी शेयर खरीदें क्योंकि उनके बढ़ने की उम्मीद है।",Trade generation,Buy,,
49,"Right, sir, let's buy here.","ठीक है, सर, चलो यहाँ खरीदते हैं।",Trade generation,Buy,,
50,Buy any such stock four times from the market.,ऐसे कोई भी शेयर बाजार से चार बार खरीदें।,Trade generation,Buy,,
51,"It's done. Yes, buy it.","यह हो चुका है। हाँ, खरीदो।",Trade generation,Buy,,
52,"What will happen to him, sir, can we buy shares from the app, can we, sir?","उसका क्या होगा सर, क्या हम ऐप से शेयर खरीद सकते हैं, सर?",Trade generation,Buy,,
53,And buy a little.,और थोड़ा खरीदो।,Trade generation,Buy,,
54,And you have to buy?,और आपको खरीदना है?,Trade generation,Buy,,
55,"If you buy it, there will be some benefit.",अगर आप इसे खरीदते हैं तो कुछ फायदा होगा।,Trade generation,Buy,,
56,Buy for this reason.,इस कारण खरीदें।,Trade generation,Buy,,
57,So we can't buy any shares without money in it.,इसलिए हम इसमें बिना पैसे के कोई भी शेयर नहीं खरीद सकते हैं।,Trade generation,Buy,,
58,We have a target of 1000 to buy in ICICI Bank.,हमने आईसीआईसीआई बैंक में खरीदारी के लिए 1000 का टारगेट रखा है।,Trade generation,Buy,,
59,"Today, if you see a little down side on the website, we can buy it.",आज अगर आपको वेबसाइट पर थोड़ा सा भी डाउन साइड दिखे तो हम उसे खरीद सकते हैं।,Trade generation,Buy,,
60,After buying keep the share till it dips. ,खरीदने के बाद शेयर को तब तक रखें जब तक वह गिर न जाए।,Trade generation,Buy,,
61,"I'm clicking, ma'am.",मै क्लिक कर रहा हूँ मैडम।,Miscellaneous,,,
62,Motilal Oswal repeatedly.,मोतीलाल ओसवाल बार-बार।,Miscellaneous,,,
63,"Share good, ok what time?","अच्छा शेयर करें, ठीक है कितने बजे?",Miscellaneous,,,
64,It is not.,यह नहीं।,Miscellaneous,,,
65,You can download it if it's free now.,आप इसे डाउनलोड कर सकते हैं यदि यह अभी मुफ़्त है।,Miscellaneous,,,
66,What will happen in this? You have to put money in it in the app and we will buy shares from it.,इसमें क्या होगा? आपको इसमें पैसे ऐप में डालने होंगे और हम इससे शेयर खरीदेंगे।,Miscellaneous,,,
67,"It may not happen before that, sir.",इससे पहले ऐसा नहीं हो सकता सर।,Miscellaneous,,,
68,When will you be able to do it?,आप इसे कब कर पाएंगे?,Miscellaneous,,,
69,It will happen.,यह होगा।,Miscellaneous,,,
70,"I'll talk to the boy now and tell you in half an hour, if you take it this evening, today.","मैं अभी लड़के से बात करूँगा और आधे घंटे में बता दूँगा, अगर तुम आज शाम को ले लो तो।",Miscellaneous,,,
71,"And if so, say to him today so that he can go to the place today so that I can do it tomorrow.","और यदि ऐसा है, तो आज उस से कहो कि वह आज उस स्थान पर जा सके, कि मैं कल कर सकूँ।",Miscellaneous,,,
72,The one above.,ऊपर वाला।,Miscellaneous,,,
73,It is almost the only means of youth.,यह लगभग युवाओं का एकमात्र साधन है।,Miscellaneous,,,
74,Does it come out in sir's account?,सर के खाते में आता है?,Miscellaneous,,,
75,"Tomorrow, it is an amount of 10,005.","कल, यह 10,005 की राशि है।",Miscellaneous,,,
76,"Now the ₹2939 sir?1 is 85,57","अब ₹2939 सर?1 85,57 है",Miscellaneous,,,
77,Tata Motors we can do bhai,टाटा मोटर्स हम कर सकते हैं भाई,Miscellaneous,,,
78,"The market also goes down sometimes it goes up, sir.",बाजार भी नीचे जाता है कभी-कभी ऊपर जाता है सर।,Miscellaneous,,,
79,Tata is also in the cash that is opening up chemicals.,टाटा उस नकदी में भी है जो रसायन खोल रही है।,Miscellaneous,,,
80,Both places in the future.,भविष्य में दोनों जगह।,Miscellaneous,,,
81,That will be something.,वह कुछ होगा।,Miscellaneous,,,
82,"For 1 minute, it will be a mamka, it will show something.","1 मिनट के लिए ममका होगा, कुछ दिखाएगा।",Miscellaneous,,,
83,"This is not to show it. Delivery doesn't show intraday, well you'll see stocks like it.","यह दिखाने के लिए नहीं है। डिलीवरी इंट्राडे नहीं दिखाती है, आप इस तरह के स्टॉक देखेंगे।",Miscellaneous,,,
84,"Options will appear. Normally Plus machine plus and delivery will see such an option. Right now I was telling you the basic option that there are two basic options only when you start. One lives on the Internet, the other lives from Delivery.",ओप्तिओंस दिखाई देंगे। आम तौर पर प्लस मशीन प्लस और डिलीवरी में ऐसा विकल्प दिखाई देगा। अभी मैं आपको मूल विकल्प बता रहा था कि जब आप शुरू करते हैं तभी दो बुनियादी विकल्प होते हैं। एक इंटरनेट पर रहती है तो दूसरी डिलिवरी से।,Miscellaneous,,,
85,It happens a little bit.,यह थोड़े ही होता है।,Miscellaneous,,,
86,"So your twenty-five ₹1000 means those running by 50,000? You can also buy gold clothes and make them feel that they have reached the twenty-five and will automatically fail.","तो आपके पच्चीस ₹1000 का मतलब 50,000 से चलने वाले हैं? आप सोने के कपड़े भी खरीद सकते हैं और उन्हें महसूस करा सकते हैं कि वे पच्चीस तक पहुंच गए हैं और अपने आप असफल हो जाएंगे।",Miscellaneous,,,
87,"Brother, you do it.",भाई आप कर लो।,Miscellaneous,,,
88,So what is it worth trading?,तो यह व्यापार करने लायक क्या है?,Miscellaneous,,,
89,The roads are wide.,सड़कें चौड़ी हैं।,Miscellaneous,,,
90,"So, there are knowledgeable people, these people should know because they are closed nowadays, the bank is closed.","तो, जानकार लोग हैं, इन लोगों को पता होना चाहिए क्योंकि ये आजकल बंद हैं, बैंक बंद है।",Miscellaneous,,,
91,"You can sell a share at any time where you bought it today. Just you have to see this there you have to buy your stock at the lowest price. If the price increases for a week or a few months, you have to send it at that time, sir.","हां, इस तरह वे आपके साथ दिल्ली कर सकते हैं, और दूसरा डिलीवरी प्रशिक्षण है। आप किसी भी समय शेयर बेच सकते हैं जहां आपने इसे आज खरीदा है। बस आपको ये देखना है वहां आपको अपना स्टॉक सबसे कम कीमत पर खरीदना है। अगर एक हफ्ते या कुछ महीनों के लिए कीमत बढ़ जाती है, तो आपको इसे उसी समय भेजना होगा, महोदय।",Process,,,
92,"You have to buy. You have to put more money into it, you have to see the money.","आपको खरीदना पड़ेगा। आपको इसमें और पैसा लगाना है, आपको पैसा देखना है।",Process,,,
93,"So you don't even have to buy a share in this period, sir, at least at a price and if the price goes up in the market, you have to send it at that time.","तो आपको इस अवधि में एक शेयर भी नहीं खरीदना है, सर, कम से कम एक कीमत पर और अगर बाजार में कीमत बढ़ जाती है, तो आपको इसे उसी समय भेजना होगा।",Process,,,
94,What will happen in this? You have to put money in it in the app and we will buy shares from it.,इसमें क्या होगा? आपको इसमें पैसे ऐप में डालने होंगे और हम इससे शेयर खरीदेंगे।,Process,,,
95,"Will you buy serious shares? If you send it as you go up, we will benefit from it. Sir, you can take that benefit back to your bank. Returns?","क्या आप गंभीर शेयर खरीदेंगे? यदि आप इसे ऊपर जाते ही भेजते हैं, तो हमें इससे लाभ होगा। महोदय, आप उस लाभ को वापस अपने बैंक में ले जा सकते हैं। रिटर्न?",Process,,,
96,"And an advisor If You have an up point from here for this, they will tell you which share you want to buy. What time pay and how long can you fail it?","और एक सलाहकार यदि आपके पास इसके लिए यहां से कोई बात है, तो वे आपको बताएंगे कि आप कौन सा शेयर खरीदना चाहते हैं। किस समय भुगतान करें और आप इसे कब तक विफल कर सकते हैं?",Process,,,
97,"Well, sir, you will buy from here, we will buy, we know how to buy, just help a little for the oil, tell me, Talk to Pawanji, okay.","अच्छा साहब, आप यहाँ से खरीदेंगे, हम खरीदेंगे, हम ख़रीदना जानते हैं, तेल के लिए बस थोड़ी सी मदद कीजिए, बोलो, पवनजी से बात करो, ठीक है।",Process,,,
98,"Sir, how is it? If you add, you can trade, sir, only then can you go and buy and sit down, sir for example, you are training on your own. What is training like? Which city of â‚¹500 was purchased? That's fine with the company.","सर, कैसा है? जोड़ो तो व्यापार कर सकते हो साहब, तभी जाकर खरीद सकते हो और बैठ जाओ, मसलन आप खुद ही प्रशिक्षण ले रहे हैं। प्रशिक्षण कैसा होता है? 500 का कौन सा शहर खरीदा गया था? यह कंपनी के साथ ठीक है।",Process,,,
99,"You have to link, buy and sell the bike in the stock market.","आपको बाइक को शेयर बाजार में लिंक करना, खरीदना और बेचना है।",Process,,,
100,"Will be done, which will recommend to you. Which shares to buy?","किया जाएगा, जो आपको सलाह देगा। कौन से शेयर खरीदें?",Process,,,
101,And some are speaking to buy something else.,वहीं कुछ कुछ और खरीदने की बात कर रहे हैं।,Process,,,
102,"So accordingly, how can i call you and transfer the fund to that market before today and at the same time provide whatever recommendation you have and buy it only if you want to buy stock only then.",तो उसी के अनुसार आज से पहले मैं आपको कैसे कॉल करके उस बाजार में फंड ट्रांसफर कर सकता हूं और साथ ही आपके पास जो भी सिफारिश है उसे प्रदान करें और इसे तभी खरीदें जब आप स्टॉक खरीदना चाहते हैं।,Process,,,
103,"So how about here? There is no time limit that if you buy today, you can send it to you today at any time. You can sell the city whenever you think the city's good price is rising. To the share.","तो यहाँ कैसे? कोई समय सीमा नहीं है कि अगर आप आज खरीदते हैं, तो आप इसे आज किसी भी समय भेज सकते हैं। जब भी आपको लगे कि शहर की अच्छी कीमत बढ़ रही है तो आप शहर को बेच सकते हैं। हिस्से को।",Process,,,
104,"Scholars want to bank bulbs cspn in options basically over telling you like want to buy like put and call option. Sir, you don't want to select the option.","विद्वान सीएसपीएन को विकल्पों में बैंक करना चाहते हैं, मूल रूप से आपको यह बताने के लिए कि आप पुट और कॉल विकल्प खरीदना चाहते हैं। महोदय, आप विकल्प का चयन नहीं करना चाहते हैं।",Process,,,
105,"Then understand, if you put in a profit, you can buy a share of 1,00,000, you can buy 50,000 shares of 50,000 added.","तो समझ लीजिए, अगर आप लाभ में डालते हैं, तो आप 1,00,000 का शेयर खरीद सकते हैं, आप 50,000 जोड़े गए 50,000 शेयर खरीद सकते हैं।",Process,,,
106,You can buy and do it every day.,आप इसे हर दिन खरीद और कर सकते हैं।,Process,,,
107,So we can't buy any shares without money in it.,इसलिए हम इसमें बिना पैसे के कोई भी शेयर नहीं खरीद सकते हैं।,Process,,,
108,"Even if he is going down the next day and gone down, you can sell out even if he has 519 nines the next day. For example right, what is it for you have not purchased shares for delivery training, I will provide you a call for long term you will also be told lions which good how to buy you?","भले ही वह अगले दिन नीचे जा रहा हो और नीचे चला गया हो, आप बेच सकते हैं, भले ही उसके पास अगले दिन 519 नाइन हों। उदाहरण के लिए, यह क्या है कि आपने डिलीवरी प्रशिक्षण के लिए शेयर नहीं खरीदे हैं, मैं आपको लंबी अवधि के लिए कॉल प्रदान करूंगा, आपको शेरों को भी बताया जाएगा कि आपको कौन सा अच्छा खरीदना है?",Process,,,
109,"After buying another city, they sell it.","दूसरा शेयर खरीदने के बाद, वे इसे बेचते हैं।",Process,,,
110,"You will not be able to send it today, you will be able to sell tomorrow and you will be able to buy tomorrow.","तुम आज नहीं भेज पाओगे, कल बेच पाओगे और कल खरीद पाओगे।",Process,,,
